entity_id,entity_name,sector,subsector,sector_id,subsector_id,website,description
438,Agent Coordination Protocols (general class),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
434,Agent-Based MEV & Execution Systems,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
298,Autonolas,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://www.autonolas.network,
119,Autonomous Governance Execution Agents,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
106,Autonomous Liquidation & Risk Agents,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
351,Autonomous Market-Making Agents (on-chain native),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
136,Bittensor (agent-focused subnets),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://bittensor.com,
483,Chainlink Automation (agent-context usage only),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://chain.link/automation,
497,Fetch.ai,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://fetch.ai,
16,Gelato Automate,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://www.gelato.network,
299,Giza,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://www.gizatech.xyz,
54,Hyperbolic,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://hyperbolic.xyz,
73,Keep3r Network,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://keep3r.network,
360,Modulus Labs,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://www.moduluslabs.xyz,
182,Multi-Agent Market Simulation Frameworks,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
392,OLAS,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://olas.network,
263,OpenZeppelin Defender (autonomous execution usage),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://www.openzeppelin.com/defender,
288,Protocol-Native Treasury Agents (DAO-embedded),Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,N/A,
157,Valory,Advanced Compute & Integration,AI Agents & Autonomous Systems,7,17,https://valory.xyz,
167,Arbitrum (cross-chain dispute role),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://arbitrum.io,Optimistic rollup using Ethereum as final court
430,Axelar,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://axelar.network,Cross-chain execution network enabling contracts to call and execute logic across chains
109,Axiom,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://www.axiom.xyz,ZK coprocessor for querying & proving blockchain state
213,EigenLayer (verification & dispute contexts only),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://www.eigenlayer.xyz,Restaked ETH providing security for off-chain & cross-chain systems
427,Espresso Systems,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://espressosys.com,Shared sequencer enabling atomicity across rollups
27,Herodotus,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://herodotus.dev,ZK proofs for verifying state across chains
18,Hyperlane (execution modules only),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://www.hyperlane.xyz,Permissionless cross-chain execution with pluggable verification
323,LayerZero (execution-enabled usage only),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://layerzero.network,Modular cross-chain execution with configurable security
460,Optimism (interop & dispute anchoring contexts),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://optimism.io,Ethereum-anchored rollup framework with interop
267,Polymer Labs,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://polymerlabs.xyz,Bringing IBC-grade coordination to Ethereum
310,RISC Zero,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://www.risczero.com,zkVM enabling verifiable arbitrary computation
498,Radius,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://www.radiusxyz.com,Shared sequencer infrastructure for rollups
413,Succinct Labs,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://succinct.xyz,ZK proof infrastructure for verifying off-chain and cross-chain computation
78,Union,Advanced Compute & Integration,Cross-Chain Compute,7,32,https://union.build,Zero-trust orchestration across heterogeneous chains
35,Wormhole (compute-enabled usage only),Advanced Compute & Integration,Cross-Chain Compute,7,32,https://wormhole.com,Cross-chain execution enabled by a guardian-verified network
235,Akash Network,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://akash.network,Open marketplace for decentralized cloud compute coordinated by crypto-economic incentives
283,Arweave (Ethereum settlement / usage only),Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://www.arweave.org,Perma-storage layer used by Ethereum apps for immutable data
463,Chainlink (physical oracle deployments only),Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://chain.link,Canonical decentralized oracle network for real-world data
133,DIMO,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://dimo.zone,User-owned vehicle data network
178,EV3,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,Emerging / early-stage,Decentralized EV charging network
189,Energy Web,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://energyweb.org,Enterprise-focused blockchain for energy coordination
496,FOAM,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://foam.space,Trust-minimized geolocation verification
174,Filecoin (Ethereum-anchored usage only),Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://filecoin.io,Decentralized storage network with verifiable physical storage
96,Golem,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://www.golem.network,Peer-to-peer marketplace for general compute
458,Helium,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://www.helium.com,Global decentralized wireless network coordinated by crypto incentives
31,Hivemapper,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://hivemapper.com,Decentralized mapping via real-world driving
433,LayerZero Labs (physical verification context only),Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://layerzero.network,Verification layer enabling trust-minimized state proofs
227,Pollen Mobile,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://pollenmobile.io,Community-built decentralized cellular network
83,Powerledger,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://powerledger.io,Blockchain-based coordination for energy trading
442,Render Network,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://rendernetwork.com,Decentralized GPU network for rendering and AI workloads
416,Storj,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://www.storj.io,Distributed cloud storage using physical nodes
229,WeatherXM,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://weatherxm.com,Decentralized weather data from physical sensors
139,XNET,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://www.xnetmobile.io,Decentralized mobile offload network using physical radios
205,io.net,Advanced Compute & Integration,DePIN (Physical Infrastruture),7,28,https://io.net,GPU network optimized for AI training and inference
150,Civic,Advanced Compute & Integration,Identity & Social Graphs,7,6,https://www.civic.com,Identity verification and compliance infrastructure for Web3
